Frame Count, Frame ID, Time(in milliseconds), E1_Dv1_(x,y), E1_Dv2_(x,y), E2_Dv1_(x,y), E2_Dv2_(x,y), E3_Dv1_(x,y), E3_Dv2_(x,y),
0,1540,51313.96667,766,440,775,497,592,433,588,493,406,443,410,503, 
1,1550,51647.12222,767,439,762,498,582,433,585,491,409,443,417,504, 
2,1560,51980.33333,771,439,766,501,591,434,590,492,406,442,409,502, 
3,1570,52313.54444,759,435,766,504,590,435,591,495,403,446,407,504, 
4,1580,52646.74444,767,436,765,505,597,436,588,496,405,446,407,506, 
5,1590,52979.95556,761,437,762,508,585,434,589,494,401,444,405,506, 
6,1600,53313.15556,765,438,763,508,586,435,587,494,408,444,410,507, 
7,1610,53646.36667,773,436,769,509,591,436,581,496,405,446,405,507, 
8,1620,53979.57778,762,432,769,511,590,437,585,502,402,449,408,509, 
9,1630,54312.78889,757,431,759,511,584,441,587,501,402,450,408,512, 
10,1640,54646.02222,768,425,771,512,583,442,586,503,401,451,405,512, 
11,1650,54979.2,763,422,768,513,589,443,585,505,400,454,400,514, 
12,1660,55312.41111,755,421,768,513,576,445,587,505,393,453,395,512, 
13,1670,55645.61111,760,421,758,510,582,445,581,505,391,453,409,517, 
14,1680,55978.82222,758,417,762,516,583,442,591,508,398,454,398,515, 
15,1690,56312.03333,774,415,769,513,581,444,590,510,393,455,405,516, 
16,1700,56645.24444,772,414,772,514,595,443,590,500,417,455,411,518, 
17,1710,56978.47778,769,415,773,515,577,446,580,505,401,452,411,519, 
18,1720,57311.65556,759,415,768,516,583,444,587,507,415,455,422,516, 
19,1730,57644.86667,769,412,769,517,589,444,586,505,398,456,405,519, 
20,1740,57978.08889,770,412,767,515,592,445,589,507,399,456,412,520, 
21,1750,58311.27778,775,409,771,519,582,445,596,508,415,456,422,519, 
22,1760,58644.48889,771,411,774,516,591,441,591,505,406,456,414,520, 
23,1770,58977.68889,779,409,770,519,584,442,589,507,403,454,414,519, 
24,1780,59310.9,788,408,771,518,579,440,593,506,405,456,415,519, 
25,1790,59644.13333,775,408,774,518,583,440,593,509,397,455,406,518, 
26,1800,59977.32222,777,406,785,516,592,434,592,507,417,456,422,514, 
27,1810,60310.52222,768,407,769,519,587,439,593,507,406,457,412,519, 
28,1820,60643.73333,773,407,773,517,591,437,599,505,409,457,414,518, 
29,1830,60976.94444,775,408,773,521,585,437,590,505,405,456,412,519, 
30,1840,61310.14444,769,407,770,519,588,435,588,507,404,455,413,519, 
31,1850,61643.35556,778,410,771,523,597,438,599,504,411,455,419,519, 
32,1860,61976.56667,776,405,770,519,595,434,594,506,406,452,411,524, 
33,1870,62309.83333,769,405,769,521,590,436,596,505,417,454,417,522, 
34,1880,62642.97778,776,408,774,521,587,435,596,506,402,454,415,518, 
35,1890,62976.18889,776,409,778,521,589,435,596,508,404,455,413,519, 
36,1900,63309.4,771,407,772,523,589,436,599,505,408,455,418,519, 
37,1910,63642.6,779,407,774,519,584,432,591,506,408,455,416,518, 
38,1920,63975.81111,781,407,778,521,592,435,595,503,412,455,416,519, 
39,1930,64309.02222,773,409,772,521,589,431,601,505,407,455,415,521, 
40,1940,64642.22222,771,408,779,520,597,431,595,502,410,455,414,518, 
41,1950,64975.43333,774,406,772,523,593,430,602,501,410,457,410,516, 
42,1960,65308.64444,759,400,773,520,593,428,599,503,413,521,416,456, 
43,1970,65641.85556,768,405,778,520,589,426,593,500,406,458,419,517, 
44,1980,65975.05556,769,403,770,520,597,429,602,500,406,456,410,518, 
45,1990,66308.26667,769,406,773,523,594,427,601,501,405,456,417,520, 
46,2000,66641.46667,767,402,775,523,602,425,594,500,400,456,404,521, 
47,2010,66974.67778,763,404,771,521,593,425,600,502,407,454,414,519, 
48,2020,67307.88889,770,404,773,522,596,425,592,502,409,456,408,521, 
49,2030,67641.1,771,406,776,522,590,423,589,510,405,457,413,522, 
50,2040,67974.3,771,405,771,523,598,423,601,516,408,457,412,522, 
51,2050,68307.51111,768,404,768,522,597,424,599,521,404,457,409,523, 
52,2060,68640.72222,768,405,769,520,594,425,598,525,405,456,401,524, 
53,2070,68973.92222,769,405,778,523,598,422,597,525,409,454,403,523, 
54,2080,69307.15556,773,405,778,523,601,425,596,526,399,452,399,526, 
55,2090,69640.34444,768,405,774,524,598,424,598,525,401,451,407,523, 
